address,year,x,y,exact_date
901 So. Raccine Ave.,1923.000000000000000,-87.656566999999995,41.870401000000001,1923-06-13
1304 W. Augusta st.,1923.000000000000000,-87.661227999999994,41.899937000000001,1923-06-14
33rd st. and Wabash Ave.,1923.000000000000000,-87.625064850000001,41.834669580000003,1923-06-16
N.W. corner of 32nd St. and Wabash Ave.,1923.000000000000000,-87.625300879999998,41.836428179999999,1923-06-16
2943 Federal,1923.000000000000000,-87.629006000000004,41.840525999999997,1923-06-19
2138 Federal st.,1923.000000000000000,-87.629482999999993,41.852654000000001,1923-06-21
2138 Federal st.,1923.000000000000000,-87.629482999999993,41.852654000000001,1923-06-21
2138 Federal st.,1923.000000000000000,-87.629482999999993,41.852654000000001,1923-06-21
2138 Federal St.,1923.000000000000000,-87.629482999999993,41.852654000000001,1923-06-21
1752 N. Winchester ave.,1923.000000000000000,-87.676483000000005,41.913240000000002,1923-06-21
2138 Federal,1923.000000000000000,-87.629482999999993,41.852654000000001,1923-06-21
2138 Federal,1923.000000000000000,-87.629482999999993,41.852654000000001,1923-06-21
2842 Federal st.,1923.000000000000000,-87.629435000000001,41.841762000000003,1923-06-24
2417 S. Kedzie ave,1923.000000000000000,-87.704915000000000,41.847701000000001,1923-06-27
740 S. Halsted st.,1923.000000000000000,-87.647317000000001,41.872677000000003,1923-06-29
740 S. Halsted,1923.000000000000000,-87.647317000000001,41.872677000000003,1923-06-29
Campbell ave / Irving Park,1923.000000000000000,-87.690939900000004,41.953968979999999,1923-07-01
84th st. and Ashland ave.,1923.000000000000000,-87.663109300000002,41.741202340000001,1923-07-01
5725 W. Division St.,1923.000000000000000,-87.768911000000003,41.901963000000002,1923-07-02
726 S. Hermitage ave.,1923.000000000000000,-87.670483000000004,41.872518999999997,1923-07-03
1309 Anaconda st.,1923.000000000000000,-87.660087000000004,41.893763000000000,1923-07-04
864 Oakwood Blvd,1923.000000000000000,-87.604636999999997,41.823819000000000,1923-07-04
28th St. & Halsted St,1923.000000000000000,-87.646393779999997,41.843478099999999,1923-07-07
301 E Grand Av,1923.000000000000000,-87.619992999999994,41.891663000000001,1923-07-08
1212 S. Oakley ave.,1923.000000000000000,-87.683848999999995,41.866222999999998,1923-07-09
724 W. 19th St.,1923.000000000000000,-87.645330999999999,41.856836999999999,1923-07-09
47th and Winchester,1923.000000000000000,-87.673408989999999,41.808348709999997,1923-07-15
31 W Adams st,1923.000000000000000,-87.628637999999995,41.879303000000000,1923-07-17
12 W. 33rd ST.,1923.000000000000000,-87.626988999999995,41.834837000000000,1923-07-18
120 E. 34th st.,1923.000000000000000,-87.622885999999994,41.833036999999997,1923-07-18
69th st. / Yale ave.,1923.000000000000000,-87.631287569999998,41.768895129999997,1923-07-20
21 W. 37th st.,1923.000000000000000,-87.628331000000003,41.827162999999999,1923-07-20
1617 Fulton st.,1923.000000000000000,-87.667550000000006,41.886763000000002,1923-07-21
3745 Wabash ave.,1923.000000000000000,-87.624673999999999,41.826165000000003,1923-07-21
Close to 390 Kensington,1923.000000000000000,-87.613725000000002,41.684137000000000,1923-07-22
1002 So. State St.,1923.000000000000000,-87.627683000000005,41.869934999999998,1923-07-23
11th st. & Michigan ave.,1923.000000000000000,-87.624206540000003,41.869273210000003,1923-07-23
4106 Sheridan Rd.,1923.000000000000000,-87.654784000000006,41.956766000000002,1923-07-25
1635 Division st.,1923.000000000000000,-87.668971999999997,41.903162999999999,1923-07-29
Fullerton and Crawford avs,1923.000000000000000,-87.726666929999993,41.924344630000000,1923-07-29
1302 Washington Blvd.,1923.000000000000000,-87.659959999999998,41.883108999999997,1923-07-30
Schiller and Clark,1923.000000000000000,-87.631566520000007,41.907770700000000,1923-07-30
2634 W. 47th st.,1923.000000000000000,-87.690724000000003,41.808436999999998,1923-07-30
25 ft east of Perry av ; in 95th st,1923.000000000000000,-87.626030450000002,41.721666130000003,1923-07-31
2335 W. Chicago Ave,1923.000000000000000,-87.685300999999995,41.895662999999999,1923-08-02
State st. and 30th st.,1923.000000000000000,-87.626781460000004,41.839513619999998,1923-08-03
3021 S. State st.,1923.000000000000000,-87.626414999999994,41.839174999999997,1923-08-08
10743 Hoxie Ave.,1923.000000000000000,-87.560570999999996,41.700164000000001,1923-08-10
2298 Blue Island ave.,1923.000000000000000,-87.671027179999996,41.850479290000003,1923-08-12
Kedzie / Belmont ave.,1923.000000000000000,-87.707612510000004,41.939302179999999,1923-08-13
4151 Lake st.,1923.000000000000000,-87.729500999999999,41.885466999999998,1923-08-13
SE corner 29th & Dearborn sts.,1923.000000000000000,-87.627875799999998,41.842055389999999,1923-08-13
2525 E. 73rd st.,1923.000000000000000,-87.562974999999994,41.762697000000003,1923-08-13
3123 Wabash,1923.000000000000000,-87.624876000000000,41.835937000000001,1923-08-14
Polk and Wells sts.,1923.000000000000000,-87.633605000000003,41.872133359999999,1923-08-15
3907 Cottage Grove,1923.000000000000000,-87.606714999999994,41.823602999999999,1923-08-15
Polk and Wells sts.,1923.000000000000000,-87.633605000000003,41.872133359999999,1923-08-15
Rockwell and North ave.,1923.000000000000000,-87.692120079999995,41.910213949999999,1923-08-19
3254 Rhodes av.,1923.000000000000000,-87.613583000000006,41.835019000000003,1923-08-19
305 S. Clark st.,1923.000000000000000,-87.630600999999999,41.878019000000002,1923-08-20
724 W. 31st.,1923.000000000000000,-87.644695999999996,41.838236999999999,1923-08-20
2013 Loomis st.,1923.000000000000000,-87.661015000000006,41.854880999999999,1923-08-20
3523 Prairie,1923.000000000000000,-87.620300999999998,41.830570000000002,1923-08-22
Monroe and Green sts.,1923.000000000000000,-87.648496629999997,41.880425490000000,1923-08-24
